datetime,tokyo,saitama,kanagawa,chiba
2012/5/9,7.5,5.5,1,4.5
2012/5/10,3.5,1,6,9
2012/5/11,0,0,0,0
2012/5/12,0,0,0,0
2012/5/13,0,0,0,0
2012/5/14,0,0,0,0
2012/5/15,11.5,2,14,21.5
2012/5/16,0,0,0,0.5
2012/5/17,0,0,0,0
2012/5/18,4.5,8.5,16.5,14
2012/5/19,0,0,0,0
2012/5/20,0,0,0,0
2012/5/21,0,0,0,0
2012/5/22,33,9.5,41.5,42
2012/5/23,0,0,0,2.5
2012/5/24,0,0,0,0
2012/5/25,0,0,0,0
2012/5/26,0,0,0,0
2012/5/27,0,0,0,0
2012/5/28,5.5,8.5,2,12.5
2012/5/29,0.5,21.5,0.5,11.5
2012/5/30,0,0.5,0,0
2012/5/31,0,0,0,0
2012/6/1,1.5,0.5,1,4
2012/6/2,0,0,0,0
2012/6/3,0.5,0,0,0
2012/6/4,0,0,0,0
2012/6/5,0,0,0,0
2012/6/6,4,1.5,6.5,6
2012/6/7,0,0,0,0
2012/6/8,1,0,0.5,0.5
2012/6/9,29.5,27,36.5,37.5
2012/6/10,1,0,0,2
2012/6/11,1,2,2.5,6
2012/6/12,11.5,5,13.5,9.5
2012/6/13,1,1.5,1.5,2.5
2012/6/14,0,0,0,0
2012/6/15,0,0,0,0
2012/6/16,6.5,3.5,5.5,7.5
2012/6/17,7,7,22.5,12.5
2012/6/18,0,0,0,0
2012/6/19,72.5,75.5,70,63
2012/6/20,0,0,0,0
2012/6/21,0,0,1,0
2012/6/22,48,36.5,71,60
2012/6/23,0,0,0,0
2012/6/24,0,0,0.5,0
2012/6/25,0,0,1,0
2012/6/26,0,0,0,0
2012/6/27,0,0,0,0
2012/6/28,0,0,0,0
2012/6/29,0,0,0,0
2012/6/30,0,0,0,0
2012/7/1,7.5,6,6.5,6
2012/7/2,8,7.5,8.5,17
2012/7/3,9,0,30,23.5
2012/7/4,3,1,1,1.5
2012/7/5,0,0,0,0
2012/7/6,8,18,2.5,10.5
2012/7/7,23,13.5,5,18.5
2012/7/8,6,5,1.5,8
2012/7/9,0,0,0,0
2012/7/10,0,0,0,0
2012/7/11,0,0,0,0
2012/7/12,2,4.5,0.5,0
2012/7/13,11.5,1,1.5,4.5
2012/7/14,41,19,54,27
2012/7/15,0,0,0,0
2012/7/16,0,0,0,0
2012/7/17,0,0,0,0
2012/7/18,0,0,0,0
2012/7/19,0,0,0.5,0
2012/7/20,7,3.5,27,0
2012/7/21,4,3.5,3.5,3.5
2012/7/22,0,0,3.5,1.5
2012/7/23,0,0,0.5,0
2012/7/24,0,0,0,0
2012/7/25,0,0,0,0
2012/7/26,0,0,0,2
2012/7/27,0,0,0,0
2012/7/28,0,0,0,0
2012/7/29,0,0,0,0
2012/7/30,0,0,0,0
2012/7/31,0,0,0,0
2012/8/1,0,0,0,1
2012/8/2,0,0,0,0
2012/8/3,0,0,0,0
2012/8/4,0,0,2.5,0
2012/8/5,0,0,0,0
2012/8/6,15.5,15,8.5,13.5
2012/8/7,0,0,0,0
2012/8/8,0,0,0,0
2012/8/9,0,0,0,0
2012/8/10,0,0,0,0
2012/8/11,0,1,0,0
2012/8/12,0.5,0.5,0,2
2012/8/13,0,0,0,0
2012/8/14,1,8,2.5,3.5
2012/8/15,0,0,0,0
2012/8/16,0,0,0,0
2012/8/17,0,0,0,0
2012/8/18,8,1,4.5,0
2012/8/19,0,0,0,0
2012/8/20,0,0,0,0
2012/8/21,0,0,0,0
2012/8/22,0,0,0,0
2012/8/23,0,0,0,0
2012/8/24,0,0,0,0
2012/8/25,0,0,0,0
2012/8/26,0,0,0,0
2012/8/27,0,0,0,0
2012/8/28,0,0,0,0
2012/8/29,0,0,0,0
2012/8/30,0,0,0,0
2012/8/31,0,5.5,0,0
2012/9/1,22.5,2.5,10,17
2012/9/2,17.5,20,42.5,15
2012/9/3,0.5,0,9,0.5
2012/9/4,4.5,28,15,13.5
2012/9/5,0,0,0,0
2012/9/6,2,24.5,9.5,9.5
2012/9/7,0,0,0,0
2012/9/8,0,0,0,0.5
2012/9/9,0,0,0,0
2012/9/10,0,0,0,0
2012/9/11,0,0,2,0
2012/9/12,0,0,2,13.5
2012/9/13,0,0,0,0
2012/9/14,0,0,0,0
2012/9/15,0,0,0,3
2012/9/16,3.5,0,3,0.5
2012/9/17,8.5,4,19.5,6.5
2012/9/18,5.5,13,10,6.5
2012/9/19,36,8.5,22.5,19
2012/9/20,0,0,0,0
2012/9/21,16,0.5,0,0
2012/9/22,10.5,20.5,29.5,0
2012/9/23,45.5,54.5,77,32.5
2012/9/24,21.5,0.5,71.5,1.5
2012/9/25,7.5,3,6.5,8.5
2012/9/26,0,0,0,0
2012/9/27,0,0,0,0
2012/9/28,0,0,0,2.5
2012/9/29,0,0,0,0
2012/9/30,13,7.5,12.5,6.5
2012/10/1,0,0,0,0
2012/10/2,0,0,0,0
2012/10/3,13,3,16.5,20
2012/10/4,30,0.5,0.5,22.5
2012/10/5,0,0,0,0.5
2012/10/6,8,11.5,4.5,0
2012/10/7,13.5,6.5,5.5,16.5
2012/10/8,0,0,0,0
2012/10/9,0,0,0,0
2012/10/10,0.5,0,0,0.5
2012/10/11,0,0,0,2
2012/10/12,0,0.5,0,3.5
2012/10/13,0,0,0,0
2012/10/14,0,0,0.5,12.5
2012/10/15,0,0,0,0.5
2012/10/16,0,0,0,0
2012/10/17,19.5,4.5,38,26.5
2012/10/18,21.5,12.5,26.5,22.5
2012/10/19,13.5,12.5,17,13
2012/10/20,0,0,0,0
2012/10/21,0,0,0,0
2012/10/22,0,0,0,0
2012/10/23,6,4.5,12,7.5
2012/10/24,0,0,0,0
2012/10/25,0,0,0,0
2012/10/26,0,0,0,0
2012/10/27,0,0,0,0
